original_title,plot,runtimes,countries,country_codes,language_codes,color_info,aspect_ratio,sound_mix,certificates,original_air_date,rating,votes,cover_url,imdbID,languages,title,year,kind
Gigli (2003),"Larry Gigli is assigned by a crime boss to kidnap the brother of a prominent district attorney. A beautiful woman known only as Ricki is sent to stay with him to make sure he doesn't mess up the job.; Gigli, a lowly and inept hitman, is assigned a job by the mob to kidnap an intellectually disabled brother of a California district attorney. Gigli abducts the brother from his mental hospital and holds him hostage in his apartment. Ricki, a ""lesbian assassin"", is sent to oversee Gigli's job and make sure he doesn't screw it up. Comedic high jinks ensue as the two go on the lam and start to fall in love.::Ilya G.; A lowly thug, Gigli, is assigned to kidnap the psychologically challenged younger brother of a powerful federal prosecutor to save his mobster boss from incarceration. Staked-out in his one-bedroom apartment with his kidnap victim, Brian, Gigli soon realizes that what he thought would be a routine assignment soon becomes a tumultuous task. Ricki, a gorgeous, free-spirited female gangster is sent to assist Gigli with the kidnapping because his boss does not think that Gigli is up to the job. But when his feelings for the decidedly unavailable Ricki begin to grow, and he actually becomes concerned for Brian, tough guy Gigli begins to transform into an actual human being...which considering his profession could be a very dangerous occupation.::Anonymous",121,United States,us,en,Color,2.35 : 1,DTS; Dolby Digital; SDDS,Argentina:13; Australia:M; Brazil:16; Canada:14A; Canada:18A::(Ontario); Canada:13+::(Quebec); Finland:K-15; France:Tous publics; Germany:12; Iceland:16; India:U::(Chennai); Ireland:18; Italy:VM14; Malaysia:18PL; New Zealand:M; Norway:15; Peru:14; Philippines:R-18; Portugal:M/12; Singapore:M18; Singapore:PG; South Korea:18; Spain:13; Sweden:15; United Kingdom:15; United States:R; Ukraine:16,01 Aug 2003 (USA),2.5,46082,"https://m.media-amazon.com/images/M/MV5BMTE5MTYxMDg5NV5BMl5BanBnXkFtZTYwNjc5MzQ3._V1_SY150_CR8,0,101,150_.jpg",0299930,English,Gigli,2003,movie
Anon (2018),"In a world without anonymity or crime, a detective meets a woman who threatens their security.::Anonymous",100,United Kingdom; Canada; United States; Germany,gb; ca; us; de,en,Color,1.78 : 1 (point-of-view scenes),,Argentina:16; Australia:MA15+::(Netflix self-rating); Brazil:16; France:16; Germany:16; Hong Kong:III; Indonesia:17+; Ireland:16; Italy:VM14; Japan:R15+::(self-applied); Mexico:TV-MA::(self-applied); Netherlands:16; Norway:16::(Netflix self-rating); Portugal:M/16; Singapore:R21; South Africa:16; South Korea:18; Spain:18; Taiwan:R-15; United Kingdom:15; United States:TV-MA; Ukraine:16,04 May 2018 (USA),6.1,38142,"https://m.media-amazon.com/images/M/MV5BMjE0MjIwMDE2MV5BMl5BanBnXkFtZTgwMzM5MDQzNTM@._V1_SY150_CR0,0,101,150_.jpg",5397194,English,Anon,2018,movie
Step Sisters (2018),"To get the college dean's backing for Harvard, Jamilah has to teach girls at a white sorority to step dance.::Scott Filtenborg; Jamilah has her whole life figured out. She's the president of her sorority, captain of their champion step dance crew, is student liaison to the college dean, and her next move is on to Harvard Law School. She's got it all, right? But when the hard-partying white girls from Sigma Beta Beta embarrass the school, Jamilah is ordered to come to the rescue. Her mission is to not only teach the rhythmically-challenged girls how to step dance, but to win the Steptacular, the most competitive of dance competitions. With the SBBs reputations and charter on the line, and Jamilah's dream of attending Harvard in jeopardy, these outcast screw-ups and their unlikely teacher stumble through one hilarious misstep after another. Cultures clash, romance blossoms, and sisterhood prevails as everyone steps out of their comfort zones.",108,United States,us,en,Color,,,Netherlands:12; Norway:12::(Netflix self-rating); Singapore:R21; South Korea:18; United Kingdom:12; United States:PG-13,19 Jan 2018 (USA),5.5,4077,"https://m.media-amazon.com/images/M/MV5BMjI0ODYyOTI0NF5BMl5BanBnXkFtZTgwOTY5ODg0NDM@._V1_SY150_CR0,0,101,150_.jpg",5267472,English,Step Sisters,2018,movie
Rip Tide (2017),"Following an embarrassing viral video, a New York model decides to escape from her suffocating existence by visiting her faraway aunt in Australia.::Netflix; Teenage model Cora (played by Disney star Debby Ryan) is the daughter of the head of a major modelling agency and has always worked hard to live up to the expectations of her mother (Danielle Carter). When a damaging video of Cora goes viral she departs for Australia to spend time with her aunt Margot (Genevieve Hegney). Margot is also facing her own difficulties and their time together becomes a learning experience for them both.::michaeljwilkie",85,Australia; United Arab Emirates,au; ae,en,Color,,,Australia:G; Indonesia:17+; New Zealand:G; Norway:7::(Netflix self-rating); United Kingdom:PG; United States:Unrated; United States:TV-Y7; United States:TV-Y7::(Netflix),03 Oct 2017 (USA),5.5,2992,"https://m.media-amazon.com/images/M/MV5BNzA5OWFiZDEtYTliOS00YWNmLTljMjYtYWFjODYxNDY4MDVhXkEyXkFqcGdeQXVyNDY1NTI0OA@@._V1_SY150_CR2,0,101,150_.jpg",6262764,English,Rip Tide,2017,movie
Starship Troopers (1997),"Humans in a fascist, militaristic future wage war with giant alien bugs.::Kenneth Chisholm; In the distant future high school kids are encouraged to become citizens by joining the military. What they don't know is that they'll soon be engaged in a full scale war against a planet of alien insects. The fight is on to ensure the safety of humanity.::Christopher Van Pelt; The time is the future. Johnny Rico joins the military after graduation to become a citizen and for the love of his high school sweetheart. In the war against the bug aliens of Klendathu, the military is a very dangerous place to be. Johnny works his way through several battles and with the help of his friends and comrades, helps turn the tide of the war, and save the human race.::<maninamask@aol.com>; Set on the future earth, Johnny rico is a young student dating a girl named Carmen. When Carmen decides to join the military in order to become a class citizen (citizenship is only achieved through serving your country), Johnny follows and joins as well. He soon realizes that he joined for the wrong reasons but just as he is about to quit, an asteroid that originated from the orbit of planet ""klendathu"" hits Buenos Aires (his home town) and kills his family. Johnny and his fellow troopers set out to destroy the planet's inhabitants: a type of deadly and very large scaled space bugs. Through a seemingly ordinary action flick, director paul verhoeven creates a subtle anti-war theme, that shows us a fascist and military world far more frightening than WW2's Germany, Italy or Russia, the kind of world that is actually functioning.::guyshemi; Earth is united under militaristic organization called ""Federation"". Even in 4school students like Johnny Rico are thought about importance of serving to the Federation. On the surface atmosphere looks pretty relaxed, Johnny is dating beautiful Carmen, he has successful high school football career, loyal friends and rich parents. In the background Federation is in war with highly intelligent insectoid population that has colonized many worlds and are now trying to exterminate humans. Carmen decides to go to a school for a pilot in hope of commanding her own space ship one day and Johnny follows her not wanting to separate, but they eventually get separated in the line of duty when Johnny ends up in the Infantry and Carmen in the Fleet. When tragedy obliterates their home city of Buenos Aires, Johnny gets determined more than ever to put an end to the insectoid aggressor. Driven by hatred of the insectoids, and jealousy for Carmen's new boyfriend, Johnny strives to become one of the best soldiers Federation has ever seen... But ""bugs"" prove to be smarter and more resilient than he originally thought...::Shaddow",129,United States,us,en,Color::(Technicolor),1.85 : 1,DTS; SDDS::(8 channels); Dolby Digital; Dolby Atmos,Argentina:13; Australia:MA; Belgium:KNT/ENA; Brazil:16; Canada:18A::(Canadian Home Video rating); Canada:R::(Manitoba/Ontario); Canada:14::(Nova Scotia); Canada:13+::(Quebec); Denmark:11; Finland:K-16; France:12; Germany:18; Germany:16; Germany:Not Rated::(SPIO/JK); Hong Kong:IIB; Iceland:16; India:UA; India:A; Ireland:18; Ireland:18::(Blu-ray rating); Italy:T; Japan:PG-12; Mexico:C; Netherlands:16; Netherlands:12::(DVD rating); New Zealand:R16; Nigeria:12; Norway:15; Peru:14; Philippines:R-16; Portugal:M/16; Russia:16+; Singapore:M18; Singapore:PG; South Korea:18; South Korea:15::(video rating); Spain:18; Sweden:15; United Kingdom:18::(Blu-ray rating); United Kingdom:18::(DVD rating); United Kingdom:15; United Kingdom:18; United States:R,07 Nov 1997 (USA),7.2,270899,"https://m.media-amazon.com/images/M/MV5BNWExNzg3MmMtYjc3MS00MzFlLWJiOWQtNWYxZTgxNjhlZTQ2XkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_SX101_CR0,0,101,150_.jpg",0120201,English,Starship Troopers,1997,movie
The Clique (2008),"A young girl tries to fit in with a clique of popular middle school girls after moving into the guest house of one of their homes.::anonymous; Massie Block is the leader of a small group of privileged schoolgirls who arrogantly call themselves 'The Pretty Committee'. These so-called pre-teen 'mean girls' (cynical, egotistical, selfish and narcissistic females) and their clique are respected and feared in their middle school as well as their upper class Rhode Island suburban neighborhood. But Massie's life takes an unexpected turn when her parents friends, a lower-middle class family with a self-assured daughter named Claire move into the Block's guest house and Claire threatens to undermine the superficial Massie's position of the clique.::matt-282",87,United States,us,en,Color,1.85 : 1,Dolby,Argentina:Atp; Australia:PG; Brazil:10; Canada:G::(Manitoba/Ontario/Quebec); Canada:PG::(Nova Scotia); Denmark:A; Germany:0; Netherlands:AL; New Zealand:PG; Singapore:PG; South Africa:13; United Kingdom:12; United States:PG,11 Nov 2008 (USA),5.2,5560,"https://m.media-amazon.com/images/M/MV5BMTU3MDA5MjQ0Ml5BMl5BanBnXkFtZTgwODA1NzAwNzE@._V1_SY150_CR2,0,101,150_.jpg",1059905,English,The Clique,2008,video movie
The Last Airbender (2010),"Follows the adventures of Aang, a young successor to a long line of Avatars, who must master all four elements and stop the Fire Nation from enslaving the Water Tribes and the Earth Kingdom.::Anonymous; The world is divided into four kingdoms, each represented by the element they harness, and peace has lasted throughout the realms of Water, Air, Earth, and Fire under the supervision of the Avatar, a link to the spirit world and the only being capable of mastering the use of all four elements. When young Avatar Aang disappears, the Fire Nation launches an attack to eradicate all members of the Air Nomads to prevent interference in their future plans for world domination. 100 years pass and current Fire Lord Ozai continues to conquer and imprison anyone with elemental ""bending"" abilities in the Earth and Water Kingdoms, while siblings Katara and Sokka from a Southern Water Tribe find a mysterious boy trapped beneath the ice outside their village. Upon rescuing him, he reveals himself to be Aang, Avatar and last of the Air Nomads. Swearing to protect the Avatar, Katara and Sokka journey with him to the Northern Water Kingdom in his quest to master ""Waterbending"" and eventually fulfill his destiny of once again restoring peace to the world. But as they inch nearer to their goal, the group must evade Prince Zuko, the exiled son of Lord Ozai, Commander Zhao, the Fire Nation's military leader, and the tyrannical onslaught of the evil Fire Lord himself.::The Massie Twins; The four nations of Air, Water, Earth and Fire lived in harmony until the Fire Nation declared war. A century later, there is still no end in sight to the destruction, then, an Avatar named Aang (Noah Ringer) discovers that he has the power to control the four elements. He joins forces with Katara (Nicola Peltz), a Waterbender, and her brother, Sokka, to restore balance and harmony to their world.",103,United States,us,en,Color,2.35 : 1,Dolby Digital; Dolby Surround 7.1; DTS; SDDS; Sonics-DDP,Argentina:Atp; Australia:PG; Brazil:10; Canada:PG::(Ontario); Czech Republic:12; Finland:K-11; Finland:K-12/9; France:Tous publics; Germany:6; India:U; Ireland:PG; Italy:T; Japan:G; Lithuania:N-7; Malaysia:P13; Mexico:A; Netherlands:9; Nigeria:G; Norway:11::(cinema rating); Philippines:G::(MTRCB); Portugal:M/12::(Qualidade); Russia:0+; Saudi Arabia:G; Singapore:PG; South Africa:A; South Korea:All; Spain:7; Sweden:11; Switzerland:10::(canton of Geneva); Switzerland:10::(canton of Vaud); Taiwan:GP; United Kingdom:PG; United States:PG,01 Jul 2010 (USA),4.0,153604,"https://m.media-amazon.com/images/M/MV5BMTM1NjE0NDA0MV5BMl5BanBnXkFtZTcwODE4NDg1Mw@@._V1_SY150_CR0,0,101,150_.jpg",0938283,English,The Last Airbender,2010,movie
Sleepover (2004),"Desperate to improve their social status, four best friends enter into an all-night scavenger hunt against the popular clique in their school.::IMDb Editors; On the last day of 8th grade before their freshman year in high school, Julie has a slumber party with three best friends: Hannah, Farrah, and Yancy; and they have the time of their lives. To win the legendary high-school lunch spot by the fountain, they must win an all-night scavenger hunt against their popular-girl rivals. Unfortunately, Julie's mom has firm rules about the party. First rule: Don't leave the house. But Julie and her friends won't let a little thing like parental authority stand in the way of social domination, and they sneak out of the house, steal a car, snatch a cute boy's boxer shorts, crash a high-school dance, and torment an egomaniac security guard. Aong the way, some of the girls might just find love. Because anything is possible at Julie's sleepover.::Sujit R. Varma, Emily Moore and Spring Blachly; In the summer before their freshman year in high school, Julie has a slumber party with her best friends: Hannah, Farrah, and Yancy. To try to cast off their less-than-cool reputations once and for all. Julie and her friends conduct an all-night scavenger hunt against their rivals. Hijacking dad's car, sneaking into clubs, evading Julie's mother, and even a first kiss--anything is possible at Julie's sleepover.::Sujit R. Varma",89,United States,us,en,Color,1.85 : 1,DTS; Dolby Digital; SDDS,Argentina:Atp; Australia:G; Brazil:12; Canada:PG::(Alberta/Manitoba/Nova Scotia); Canada:G::(British Columbia/Quebec); Finland:S; France:Tous publics; Germany:6; Ireland:PG; Japan:PG12; Mexico:B; Netherlands:AL; New Zealand:G; Norway:A::(TV rating); Russia:12+; Singapore:PG; South Korea:12; United Kingdom:PG; United States:PG; Ukraine:12,09 Jul 2004 (USA),5.4,15533,"https://m.media-amazon.com/images/M/MV5BMTA4ODg1OTk2MjJeQTJeQWpwZ15BbWU3MDc4MzIyNzQ@._V1_SX101_CR0,0,101,150_.jpg",0368975,English,Sleepover,2004,movie
The Adventures of Sharkboy and Lavagirl 3-D (2005),"A young boy is recruited by his imaginary friends Sharkboy and Lavagirl to help save their planet.; Max is a normal guy with a dreaming habit-making him a target for bullies. One day, he accidentally summons imaginary characters in his mind named sharkboy and lavagirl. They are his heroes who will defend him at all costs, but when they arrive for real, something unexpected happens, the 2 heroes need max to save their world from a dire threat; Writer and director Robert Rodriguez returns to the family-friendly adventure of his Spy Kids movies with this three-dimensional action opus. Max (Cayden Boyd) is a ten-year-old boy who doesn't get along with his peers and is constantly bullied at school. But Max has an active imagination, and he has a pair of very special imaginary playmates -- Shark Boy (Taylor Lautner), a human-shark half-breed cared for by a pack of great whites, and Lava Girl (Taylor Dooley), a girl with superpowers who can conjure heat and fire at will. Max may be a creative boy, but what he doesn't know is that Shark Boy and Lava Girl really do exist, and he is recruited to help them as they do battle against Mr. Electricity, a super-villain determined to deprive children of their sleep.; Young dreamer Max spends a majority of his time writing about his imaginary friends, the feisty Sharkboy and the hot headed Lavagirl and wishing that he could go to the nonexistent Planet Drool. He gets his chance when they suddenly appear during a deadly storm. Only problem is that they are in need of him. They need him to save Planet Drool from a growing darkness and to help them defeat an evil alien intelligence named Mr. Electric, who is bent on destroying their world. Will they succeed? Or will Max's dreams turn into a nightmare?::Blazer346; Dreamer Max, ridiculed by his classmates, conjures up his perfect dreamworld...the Planet Drool. But his dream is more powerful than even he suspects, and his favourite dream super-heroes, Sharkboy and Lavagirl, materialise on Earth. They need help from Max. All is not well in Max's dreamworld. An alien intelligence is interfering and darkness threatens his beloved Planet Drool. Is it true, as Sharkboy and Lavagirl say, that only Max, the powerful dreamer, can stop it? Max takes off on a wild and dangerous journey to the fantastic Planet Drool with Sharkboy and Lavagirl. Can they discover the source of the danger? Will they be able to stop it in time?::Yaalaast",93,United States,us,en,Color,1.85 : 1,DTS; Dolby Digital; SDDS,Argentina:Atp; Australia:G; Belgium:KT/EA; Brazil:Livre; Bulgaria:A; Canada:G; Chile:TE; Denmark:A; France:Tous Public; Germany:6; Hong Kong:I; Hungary:KN; Iceland:L; India:U; Indonesia:SU; Ireland:G; Italy:T; Japan:G; Lithuania:V; Malaysia:U; Maldives:G; Malta:U; Mexico:A; Netherlands:MG6; Nigeria:G; Norway:7::(Netflix self-rating); Peru:Apt; Philippines:G; Portugal:T; Russia:6+; Singapore:PG; South Africa:A; South Korea:All; Sweden:Btl; Taiwan:G; Thailand:G; United Kingdom:U; United States:PG; Vietnam:P,10 Jun 2005 (USA),3.6,33686,"https://m.media-amazon.com/images/M/MV5BZjY5NGNhNDMtNDM3OC00YTc0LWFiMzYtNWQ1NWYyYzFjOTk0XkEyXkFqcGdeQXVyODE5NzE3OTE@._V1_SY150_CR0,0,101,150_.jpg",0424774,English,The Adventures of Sharkboy and Lavagirl 3-D,2005,movie
The Roommate (2011),"When college freshman Sara arrives on campus for the first time, she befriends her roommate, Rebecca, unaware that the girl is becoming dangerously obsessed with her.::Moviedude346; Fresh from Des Moines, Iowa, Sara Matthews has just landed in Los Angeles as a college freshman studying fashion design. She meets handsome Stephen, party-lover Tracy, and roommate Rebecca. Rebecca is nice, sweet and ready to share everything with Sara. It could be the beginning of a beautiful friendship. But Tracy is convinced that there's something seriously wrong with Rebecca and bad things start happening to everyone close to Sara. If Sara is to have a normal college experience, she's going to have to get to the bottom of what's up with Rebecca and quickly get out of her clutches.::napierslogs; A girl named Sara has a roomate called Rebecca in her new school she seems like a nice girl nothing strange or wrong with her but when she notices something strange about her, it fells like she is getting obsessive over Sara. At the end she finds out what Sara is up to and how obsessive she really is!; Sara is a college freshman making instant friends, a new boyfriend, and a new roommate named Rebecca. The two form a fast friendship until Sara discovers that Rebecca is mentally unstable and obsessive and will go to extreme measures to ensure that she is Sara's only best friend.",94,United States,us,en,Color,2.35 : 1,Dolby Digital; SDDS; DTS,"Argentina:13; Australia:M; Brazil:14; Canada:14A::(Alberta/Nova Scotia); Canada:PG::(Ontario); Canada:13+::(Québec); Finland:K-16/13; Finland:K-15/13; Germany:16; Ireland:15A; Italy:VM14::(DVD rating); Malaysia:18; Netherlands:12; New Zealand:M; Peru:14; Philippines:R-13::(MTRCB); Portugal:M/16; Singapore:NC-16; South Africa:13::(L, V); South Africa:16::(S, V); South Korea:15; Spain:12::(TV rating); Sweden:15; United Kingdom:15; United States:PG-13",04 Feb 2011 (USA),4.8,36744,"https://m.media-amazon.com/images/M/MV5BMjIwMzQwMzMwNF5BMl5BanBnXkFtZTcwNjE5MTUxNA@@._V1_SY150_CR0,0,101,150_.jpg",1265990,English,The Roommate,2011,movie
Mortal Kombat (1995),"Three unknowing martial artists are summoned to a mysterious island to compete in a tournament whose outcome will decide the fate of the world.::Anonymous; Based on the popular video game of the same name ""Mortal Kombat"" tells the story of an ancient tournament where the best of the best of different Realms fight each other. The goal - ten wins to be able to legally invade the losing Realm. Outworld has so far collected nine wins against Earthrealm, so it's up to Lord Rayden and his fighters to stop Outworld from reaching the final victory...::CyberRax; The Emperor of Outworld has his sights set on conquering the realm of Earth. But in order to do so, he has to win 10 straight the ancient Mortal Kombat tournaments. The Emperor's sorcerer, Shang Tsung, has led Outworld's forces to nine straight victories. The only thing standing between Earth and the Emperor's evil forces are three humans: Liu Kang, who is only at the tournament to kill Shang Tsung for the murder of his brother, Sonya Blade, a law enforcement officer who was lured to the ship under the pretenses of catching her partner's killer, and Johnny Cage, an egotistical movie star who the press has dubbed as a fake and is only at the tournament as a way to prove himself. It will be up to Lord Rayden to teach his three warriors to look deep inside themselves to find the ability to beat Shang Tsung and save the realm of Earth from devastation.::Anthony Pereyra {hypersonic91@yahoo.com}; The Lightning God Rayden guides warrior Liu Kang, police detective Sonja Blade, and martial arts movie star Johnny Cage to a remote island to compete in the Shaolin Tournament known as Mortal Kombat. If the Outworld wins the Shaolin Tournament ten times in a row, they can enter the Realm of Earth and take over. They have been victorious the last nine times, and with warriors like Scorpion, Sub Zero, and Goro, the future of Earth looks bleak.::Michael Silva <silvamd@cleo.bc.edu>; Based on the popular fighting video game. Mortal Kombat is a tournament where fighters duel to a death match. A sorcerer from another world named Shang Tsung invites some of the world's best fighters to compete in the tournament, along with them comes characters such as Liu Kang, Johnny Cage and Sonya Blade. They must defeat Shang Tsung to change the fate of the world otherwise all hope is lost. The fate of the universe will be decided as it should be, in MORTAL KOMBAT.::Emphinix; Mortal Kombat is an ancient tournament which takes place in a distance island, in which the out-world's best warriors fights against Earth's best warriors. If the out-world wins the tournament ten times in a row, it can enter Earth and rule it. The out-world won the nine previous tournaments, so only one victory is left, but is it about to win this one too? a group of mortal warriors, include Lui Kang, Johnny Cage, Sonya Blade and some more, in the leadership of the god Lord Rayden, face the out-world warriors.::rsilberman",101,United States,us,en,Color,1.85 : 1,DTS; Dolby Digital; SDDS::(8 channels),Argentina:13; Australia:M; Brazil:16::(video rating); Canada:14A::(Canadian Home Video rating); Canada:PA::(Manitoba); Canada:14::(Nova Scotia); Canada:AA::(Ontario); Canada:13+::(Quebec); Canada:14A::(British Columbia); Finland:K-16; France:Tous publics; Germany:16; Hong Kong:IIB; Iceland:14; Iceland:16::(video rating); India:UA; Ireland:15; Italy:T; Japan:R-15; Japan:PG-12; Malaysia:P13; Mexico:B; Netherlands:12; New Zealand:M; Norway:12::(Netflix self-rating); Norway:18::(cinema rating); Portugal:M/12; Russia:12+; Singapore:PG; Singapore:PG13::(TV rating); South Korea:15; Spain:13; Sweden:15; Taiwan:R-12; United Kingdom:15; United States:PG-13,18 Aug 1995 (USA),5.8,104178,"https://m.media-amazon.com/images/M/MV5BNjY5NTEzZGItMGY3My00NzE4LThkYTUtYjJkNzk3MDBiMWE3XkEyXkFqcGdeQXVyNzg5MDE1MDk@._V1_SX101_CR0,0,101,150_.jpg",0113855,English,Mortal Kombat,1995,movie
Ghost Rider (2007),"When motorcycle rider Johnny Blaze sells his soul to the Devil to save his father's life, he is transformed into the Ghost Rider, the Devil's own bounty hunter, and is sent to hunt down sinners.::mystic80; When the motorcyclist Johnny Blaze finds that his father Barton Blaze has terminal cancer, he accepts a pact with Mephistopheles, giving his soul for the health of his beloved father. But the devil deceives him, and Barton dies in a motorcycle accident during an exhibition. Johnny leaves the carnival, his town, his friends, and his girlfriend Roxanne. Many years later, Johnny Blaze becomes a famous motorcyclist, who risks his life in his shows, and he meets Roxanne again, now a television reporter. However, Mephistopheles proposes Johnny to release his contract if he become the ""Ghost Rider"" and defeat his evil son Blackheart, who wants to possess one thousand evil souls and transform hell on Earth.::Claudio Carvalho, Rio de Janeiro, Brazil; This is the story of Johnny Blaze, who was only a teen-aged stunt biker when he sold his soul to the devil known as Mephistopheles. Many years later, Johhny is a world-renowned daredevil by day, but at night, he becomes the devil's legendary bounty hunter called the Ghost Rider. He is charged with finding evil souls on Earth and bringing them back to hell. But when a twist of fate brings Johnny's long-lost love Roxanne back into his life, Johnny realizes he just might have a second chance at happiness if he can beat the devil Blackheart and win back his soul. To do so, he'll have to defeat his nemesis and wayward son, Blackheart, whose plot to take over his father's realm will bring hell on Earth unless Ghost Rider can stop him before it's too late.::ahmetkozan; In order to save his dying father, young stunt cyclist Johnny Blaze sells his soul to Mephistopheles and sadly parts from the pure-hearted Roxanne Simpson, the love of his life. Many years later, Johnny's path crosses again with Roxanne, now a reporter, and also with Mephistopheles, who offers to release Johnny's soul if Johnny becomes the fabled, fiery Ghost Rider, a supernatural agent of vengeance and justice. Mephistopheles charges Johnny with defeating the despicable Blackheart, Mephistopheles' nemesis and son, who plans to displace his father and create a new hell even more terrible than the old one.::Kenneth Chisholm",110,United States; Australia,us; au,en,Color::(Cinevex),2.35 : 1,Dolby Digital::(Dolby Digital 5.1)::(5.1 Surround Sound)::(L-R); DTS::(DTS 5.1)::(5.1 Surround Sound)::(L-R); SDDS::(8 channels)::(5.1 Surround Sound)::(L-R); 3 Channel Stereo::(5.1 Surround Sound)::(L-R),Argentina:13; Australia:M; Brazil:14; Canada:G::(Quebec); Denmark:11; Finland:K-13; France:Tous publics avec avertissement; Germany:12; Hong Kong:IIA; Hungary:16; Iceland:12; Iceland:16::(DVD rating); India:UA; India:U::(self-applied); Ireland:12A; Ireland:15::(DVD rating); Ireland:12::(UMD rating); Italy:T; Japan:G; Malaysia:U; Mexico:B; Netherlands:12; New Zealand:M; Norway:11; Peru:14; Philippines:PG-13; Portugal:M/12; Russia:12+; Singapore:PG; Singapore:PG13; South Korea:15; Spain:13::(ICAA); Sweden:15; Switzerland:12::(canton of Geneva); Switzerland:12::(canton of Vaud); United Kingdom:12A; United Kingdom:15::(DVD rating); United Kingdom:12::(UMD rating); United States:PG-13,16 Feb 2007 (USA),5.3,224614,"https://m.media-amazon.com/images/M/MV5BMzIyNDE5ODI1OV5BMl5BanBnXkFtZTcwNTIyNDE0MQ@@._V1_SY150_CR0,0,101,150_.jpg",0259324,English,Ghost Rider,2007,movie
Sex and the City 2 (2010),"While wrestling with the pressures of life, love, and work in Manhattan, Carrie, Miranda, and Charlotte join Samantha for a trip to Abu Dhabi (United Arab Emirates), where Samantha's ex is filming a new movie.::IMDb Editors; Two years have passed since Carrie Bradshaw finally bagged John ""Mr. Big"" Preston, the man she was always meant to be with. Just as her friend Charlotte must deal with her young daughter's ""terrible two's"", Carrie must deal with her relationship taking a turn for the worse - Big likes to watch old black-and-white movies on TV and eat take-out food, which prevents Carrie from feeling like the free-wheeling party girl she used to be. Meanwhile, Miranda copes with a new boss that can't handle an intelligent, powerful woman, and Samantha works a public relations angle that gets the fashionable foursome an all-expense-paid trip to Abu Dhabi.::The Massie Twins; Carrie, Charlotte, Miranda and Samantha are each facing a major issue in their respective lives. Samantha is facing the onset of menopause and is doing whatever she can to stop that from happening. Miranda has a new senior partner who does not respect her solely because she's a woman. She decides to quit her job without an idea of what is to follow. Charlotte is feeling overwhelmed as a mother as her youngest, Rose, hits her terrible twos. Samantha also puts it into Charlotte's head that her wonderful but well endowed nanny, Erin, who walks around bra-less, could possibly be having an affair with Harry. And Carrie, realizing that with the decision not to have children means that it is just her and Big as a twosome forever, does not know if the rut in which she and Big have fallen is a sign that she and Big as a twosome is not sustainable. Carrie's personal concerns are heightened as she and Big discuss the concept of scheduled days apart from each other, and as her latest book of her take on married life get less than rave reviews. After Samantha runs into old beau, movie star Smith Jerrod, at his latest movie premiere, Shiekh Khalid, one of the movie's producers, offers Samantha an all expenses week long luxury trip to Abu Dhabi to discuss some possible PR work. Samantha accepts on the condition that she be allowed to bring her ""three girls"" with her. The four use the trip to escape from their problems at home. Although none can fully escape, Carrie faces her issue head on when she runs into a friend from her past in Abu Dhabi. And all four examine their own lives a little more closely as they, as women, experience life in a Muslim society up close and personal.::Huggo",146,United States,us,en; ar,Color,1.85 : 1,Dolby Digital; DTS; SDDS,Argentina:13; Australia:MA15+; Brazil:14; Canada:14A::(Alberta/British Columbia/Manitoba); Canada:18A::(Ontario); Canada:G::(Québec); Finland:K-13; France:Tous publics; Germany:12::(f); Hong Kong:IIB; India:A; Ireland:15A; Italy:T; Japan:R15+; Malaysia:18; Mexico:C; Netherlands:12; New Zealand:M; Norway:A::(cinema rating); Philippines:R-13::(MTRCB); Portugal:M/16; Russia:16+::(video); Singapore:R21; Singapore:M18; South Korea:18; Sweden:Btl; Switzerland:12::(canton of Geneva); Switzerland:12::(canton of Vaud); United Kingdom:15; United States:R,27 May 2010 (USA),4.5,74809,"https://m.media-amazon.com/images/M/MV5BMTM3OTUyNTI3MF5BMl5BanBnXkFtZTcwODcyMzM0Mw@@._V1_SX101_CR0,0,101,150_.jpg",1261945,English; Arabic,Sex and the City 2,2010,movie
The Adventures of Pluto Nash (2002),"In the future, a man struggles to keep his lunar nightclub out of the hands of the Mafia.::Mystic80; After his successful nightclub is blown to flaming bits, Pluto and his band travel across the moon looking for clues to the arsonist. Pluto, Bruno, and Dina search a seedy motel, Pluto's secret hideout, and the casino of the most powerful man on the moon for the evildoer, only to discover that his club's destruction might have been his own fault.::FMJ_Joker",95,United States; Australia,us; au,en,Color,1.85 : 1,DTS; Dolby Digital; SDDS,Argentina:13; Australia:M; Canada:G::(Quebec); Finland:K-11; France:Tous publics; Germany:12; Iceland:12; Ireland:12; Italy:T; Japan:G; Malaysia:18SG; Netherlands:AL; Netherlands:6::(TV rating); Norway:15::(VOD); Peru:14; Philippines:PG-13; Portugal:M/12; Singapore:PG; South Korea:12; Spain:7; Sweden:11; United Kingdom:PG; United States:PG-13; Ukraine:12,16 Aug 2002 (USA),3.8,24685,"https://m.media-amazon.com/images/M/MV5BMTQ4NTMwODQwNV5BMl5BanBnXkFtZTYwNTg0Nzk2._V1_SY150_CR0,0,101,150_.jpg",0180052,English,The Adventures of Pluto Nash,2002,movie
